draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2012,NYG,single,21,23.727272727272727,17.12400269693224,-6.603270030340486,-0.8905880286524513
2012,TB,single,1,3.272727272727273,7.4599955051129365,4.187268232385664,0.5647400368885258
2013,ATL,double,9,2.75,13.440123456790124,10.690123456790124,1.2014029764105019
2013,CLE,double,21,22.0,16.231481481481485,-5.7685185185185155,-0.6482914201730069
2013,JAX,double,10,8.0,13.672736625514403,5.672736625514403,0.637527030799348
2013,WAS,double,14,16.75,14.603189300411524,-2.1468106995884764,-0.24126800543517274
2013,ARI,single,28,23.75,17.859773662551444,-5.890226337448556,-0.6619694788508144
2013,BAL,single,16,11.5,15.068415637860085,3.5684156378600846,0.4010342056126408
2013,DEN,single,29,29.0,18.092386831275725,-10.907613168724275,-1.2258454244619679
2013,DET,single,15,13.25,14.835802469135803,1.5858024691358032,0.17821943910374066
2013,HOU,single,23,20.25,16.696707818930044,-3.5532921810699563,-0.39933456518522037
2013,MIA,single,13,18.5,14.370576131687244,-4.129423868312756,-0.4640827719440727
2013,MIN,single,18,9.75,15.533641975308644,5.783641975308644,0.6499910606004273
2013,NE,single,6,27.25,12.742283950617283,-14.507716049382717,-1.630440781446346
2013,NO,single,1,4.5,11.579218106995883,7.079218106995883,0.7955935905493957
2013,NYJ,single,24,1.0,16.929320987654325,15.929320987654325,1.790206981623814
2013,SF,single,25,6.25,17.161934156378607,10.911934156378607,1.2263310360126605
2013,TB,single,3,15.0,12.044444444444444,-2.9555555555555557,-0.3321583006729116
2013,TEN,single,12,25.5,14.137962962962964,-11.362037037037036,-1.276915572543013
2014,NYJ,double,15,8.90909090909091,17.789073702322913,8.879982793232003,0.9603162738561414
2014,ARI,single,29,16.272727272727273,16.632778893031265,0.3600516203039916,0.03893739869290329
2014,ATL,single,4,26.09090909090909,18.69759105248064,-7.3933180384284505,-0.7995424986080274
2014,BAL,single,21,28.545454545454547,17.293518784055063,-11.251935761399483,-1.2168285992954073
2014,CHI,single,8,6.454545454545455,18.36722110696874,11.912675652423284,1.2882836105167912
2014,CIN,single,31,13.818181818181818,16.467593920275313,2.6494121020934944,0.286517847729496
2014,CLE,single,28,4.0,16.715371379409238,12.715371379409238,1.3750902843052704
2014,DEN,single,13,21.181818181818183,17.954258675078865,-3.2275595067393184,-0.34904098254820676
2014,GB,single,7,11.363636363636363,18.449813593346715,7.086177229710351,0.7663270832355867
2014,KC,single,16,31.0,17.70648121594494,-13.29351878405506,-1.4376134191239809
2014,NO,single,24,23.636363636363637,17.04574132492114,-6.590622311442498,-0.7127358248195484
2014,SF,single,26,18.727272727272727,16.88055635216519,-1.8467163751075368,-0.1997111739410165
2015,GB,double,25,5.769230769230769,15.800554269148726,10.031323499917956,0.9715125358166803
2015,ATL,single,1,15.307692307692308,18.41181833099351,3.1041260233012,0.3006280621312393
2015,BUF,single,32,22.46153846153846,15.038935584443998,-7.422602877094462,-0.7188634424505606
