draft_year,team,db_picks_top3,double_db_top3,single_db_top3,db_capital_top3,total_capital_top3,db_cap_share,rank_prev,pct_prev,n_teams,need_rank,need_pct_eps,NDI_rank,NDI_pct_eps,ndi_rank_pctile,ndi_pct_eps_pctile
2008,TB,1,0,1,850.0,1345.0,0.6319702602230484,1.0,1.0,32.0,0.03125,0.03125,27200.0,27200.0,1.0,1.0
2008,DAL,1,0,1,720.0,1792.0,0.4017857142857143,6.0,0.8387096774193549,32.0,0.1875,0.16129032258064513,3840.0,4464.000000000001,0.9655172413793104,0.9655172413793104
2008,NE,1,0,1,284.0,1784.0,0.1591928251121076,5.0,0.8709677419354839,32.0,0.15625,0.12903225806451613,1817.6,2201.0,0.896551724137931,0.896551724137931
2008,ARI,1,0,1,1000.0,1585.0,0.6309148264984227,18.0,0.4516129032258065,32.0,0.5625,0.5483870967741935,1777.7777777777778,1823.529411764706,0.8620689655172413,0.8620689655172413
2008,BUF,1,0,1,1250.0,1970.0,0.6345177664974619,26.0,0.1935483870967742,32.0,0.8125,0.8064516129032258,1538.4615384615386,1550.0,0.8275862068965517,0.8275862068965517
2008,KC,1,0,1,550.0,3300.0,0.16666666666666666,13.0,0.6129032258064516,32.0,0.40625,0.3870967741935484,1353.8461538461538,1420.8333333333335,0.7931034482758621,0.7931034482758621
2008,GB,1,0,1,300.0,1180.0,0.2542372881355932,11.0,0.6774193548387097,32.0,0.34375,0.32258064516129026,872.7272727272727,930.0000000000002,0.7586206896551724,0.7586206896551724
2008,MIN,1,0,1,470.0,538.1,0.8734435978442668,19.0,0.4193548387096774,32.0,0.59375,0.5806451612903226,791.578947368421,809.4444444444443,0.7241379310344828,0.7241379310344828
2008,CAR,1,0,1,255.0,2280.0,0.1118421052631579,14.0,0.5806451612903225,32.0,0.4375,0.4193548387096775,582.8571428571429,608.076923076923,0.6896551724137931,0.6896551724137931
2008,NO,1,0,1,500.0,2034.0,0.24582104228121926,32.0,0.0,32.0,1.0,1.0,500.0,500.0,0.6551724137931034,0.6551724137931034
2008,SF,1,0,1,215.0,1365.0,0.1575091575091575,27.0,0.1612903225806451,32.0,0.84375,0.8387096774193549,254.8148148148148,256.3461538461538,0.6206896551724138,0.6206896551724138
2008,HOU,1,0,1,195.0,1040.0,0.1875,30.0,0.0645161290322581,32.0,0.9375,0.9354838709677419,208.0,208.44827586206898,0.5862068965517241,0.5862068965517241
2008,NYJ,1,0,1,68.0,2288.0,0.02972027972027972,15.0,0.5483870967741935,32.0,0.46875,0.4516129032258065,145.06666666666666,150.57142857142856,0.5517241379310345,0.5517241379310345
2008,ATL,0,0,0,0.0,3530.0,0.0,28.0,0.1290322580645161,32.0,0.875,0.8709677419354839,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,BAL,0,0,0,0.0,1485.0,0.0,31.0,0.032258064516129,32.0,0.96875,0.967741935483871,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,CHI,0,0,0,0.0,1800.0,0.0,21.0,0.3548387096774194,32.0,0.65625,0.6451612903225806,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,CIN,0,0,0,0.0,1995.0,0.0,22.0,0.3225806451612903,32.0,0.6875,0.6774193548387097,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,CLE,0,0,0,0.0,173.4,0.0,17.0,0.4838709677419355,32.0,0.53125,0.5161290322580645,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,DEN,0,0,0,0.0,1758.0,0.0,20.0,0.3870967741935484,32.0,0.625,0.6129032258064516,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,DET,0,0,0,0.0,1670.0,0.0,24.0,0.2580645161290322,32.0,0.75,0.7419354838709677,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,IND,0,0,0,0.0,483.0,0.0,3.0,0.935483870967742,32.0,0.09375,0.06451612903225801,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,JAX,0,0,0,0.0,1809.4,0.0,12.0,0.6451612903225806,32.0,0.375,0.3548387096774194,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,MIA,0,0,0,0.0,3920.0,0.0,29.0,0.0967741935483871,32.0,0.90625,0.9032258064516129,0.0,0.0,0.27586206896551724,0.27586206896551724
2008,PHI,0,0,0,0.0,1030.0,0.0,16.0,0.5161290322580645,32.0,0.5,0.4838709677419355,0.0,0.0,0.27586206896551724,0.27586206896551724
