draft_year,team,pdx4_prev,perf_pct_prev,perf_rank_prev,n_teams,need_rank,need_pct,db_picks_top3,db_capital_top3,total_capital_top3,grp,cap_rank_raw,cap_rank_prop_in_need_space,need_rank_prop_in_cap_space,index_A,index_B,abs_index_A,abs_index_B,index_A_rank_signed,index_A_rank_abs,index_B_rank_signed,index_B_rank_abs,cap_pred_elastic,RMSE,cap_resid_elastic,cap_resid_elastic_std,ln_cap,ln_need,pred_frontier90,gap_to_frontier,frontier_eff
2016,NE,0.4112364946255095,0.6774193548387097,11,32,22,0.3225806451612903,1,300.0,636.0,single,11.0,20.375,11.0,1.625,0.0,1.625,0.0,9.0,16.0,10.0,17.0,17.36899597344835,9.93732872491474,-3.0060040265516506,-0.3024961848162511,5.703782474656201,3.091042453358316,6.97307798912919,1.2692955144729892,0.28102953329616426
2016,ARI,0.3259684391526861,0.6451612903225806,12,32,21,0.3548387096774194,1,132.0,816.0,single,16.0,30.0625,10.0,-9.0625,-6.0,9.0625,6.0,14.0,7.0,14.0,7.0,17.199192162544648,9.93732872491474,-12.863307837455352,-1.294443224485936,4.882801922586371,3.044522437723423,6.987033334072984,2.104231411486613,0.1219393594527956
2016,ATL,-0.1856076992801604,0.4838709677419355,17,32,16,0.5161290322580645,1,950.0,1515.0,single,5.0,8.75,9.0,7.25,4.0,7.25,4.0,6.0,10.0,6.0,10.0,16.35017310802615,9.93732872491474,7.600173108026151,0.7648104755728868,6.856461984594587,2.772588722239781,7.068609592155218,0.212147607560631,0.80884529707328
2016,TB,-0.2625164176369622,0.3870967741935484,20,32,13,0.6129032258064516,1,1250.0,2070.0,single,3.0,4.875,8.0,8.125,5.0,8.125,5.0,5.0,9.0,4.0,8.0,15.840761675315052,9.93732872491474,10.965761675315052,1.10349189192281,7.1308988302963465,2.5649493574615367,7.1308984568480565,-3.7344829006968894e-07,1.0
2016,IND,-0.4470267310357546,0.3548387096774194,21,32,12,0.6451612903225806,1,330.0,1410.0,single,10.0,18.4375,7.0,-6.4375,-3.0,6.4375,3.0,13.0,12.0,11.0,11.0,15.670957864411353,9.93732872491474,-2.7665421355886473,-0.27839897543616615,5.799092654460526,2.4849066497880004,7.154910133984759,1.3558174795242337,0.25773651398637537
2016,JAX,-0.481126325240034,0.2903225806451612,23,32,10,0.7096774193548387,1,1700.0,2485.0,single,1.0,1.0,6.0,9.0,5.0,9.0,5.0,4.0,8.0,4.0,8.0,15.331350242603953,9.93732872491474,14.331350242603953,1.4421733082727333,7.438383530044307,2.302585092994046,7.209604015339361,-0.2287795147049465,1.0
2016,WAS,-0.5192575242065656,0.2580645161290322,24,32,9,0.7419354838709677,1,170.0,1320.0,single,15.0,28.125,5.0,-19.125,-10.0,19.125,10.0,15.0,4.0,15.0,3.0,15.161546431700254,9.93732872491474,-12.963453568299746,-1.304520955998763,5.135798437050262,2.1972245773362196,7.2412106758143,2.105412238764038,0.12179545511076935
2016,MIA,-0.5793956071201907,0.2258064516129032,25,32,8,0.7741935483870968,1,520.0,1895.0,single,7.0,12.625,4.0,-4.625,-3.0,4.625,3.0,12.0,14.0,11.0,11.0,14.991742620796554,9.93732872491474,2.366742620796554,0.2381668843119467,6.253828811575473,2.0794415416798357,7.2765439161126775,1.0227151045372045,0.359617215128406
2016,NYG,-0.8294697656455361,0.0967741935483871,29,32,4,0.9032258064516129,2,1535.0,2035.0,double,2.0,2.9375,3.0,1.0625,1.0,1.0625,1.0,10.0,17.0,9.0,16.0,14.312527377181757,9.93732872491474,11.375027377181757,1.1446765717493512,7.336285660021297,1.3862943611198906,7.484478240070137,0.14819258004883995,0.8622650439073061
2016,SF,-1.0657193361926818,0.032258064516129,31,32,2,0.967741935483871,1,250.0,2410.0,single,13.0,24.25,2.0,-22.25,-11.0,22.25,11.0,17.0,1.0,16.0,1.0,13.972919755374358,9.93732872491474,-10.277080244625642,-1.0341894214346639,5.521460917862246,0.6931471805599453,7.692412564027596,2.17095164616535,0.11406901190449971
